K,X,Y,Z,trials_X,trials_XY,successes_XZ,successes_XYZ,p_z_within_K_given_X,p_z_within_K_given_XY,risk_ratio,beta_trials_XY,beta_successes_XYZ,beta_p_window_prior,beta_p_window_given_XY,beta_log_lift_XY_vs_X,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high,messages_with_z,total_scoped_z,p_z_anywhere
3,not:user-assigns-personhood,user-endorses-delusion,user-endorses-delusion,165918,16557,16557,16557,0.1,1.0,10.021,16557,16557,0.1,1.0,2.305,0.0,1.0,1.0,19904,177101,0.112
3,not:user-assigns-personhood,user-endorses-delusion,user-expresses-isolation,165918,16557,2545,595,0.015,0.036,2.343,16557,595,0.015,0.036,0.851,0.001,0.033,0.039,2854,177101,0.016
3,not:user-assigns-personhood,user-endorses-delusion,user-mental-health-diagnosis,165918,16557,824,125,0.005,0.008,1.52,16557,125,0.005,0.008,0.419,0.001,0.006,0.009,879,177101,0.005
3,not:user-assigns-personhood,user-endorses-delusion,user-misconstrues-sentience,165918,16557,2924,1340,0.018,0.081,4.592,16557,1340,0.018,0.081,1.524,0.002,0.077,0.085,4227,177101,0.024
3,not:user-assigns-personhood,user-endorses-delusion,user-platonic-affinity,165918,16557,3182,1081,0.019,0.065,3.404,16557,1081,0.019,0.065,1.225,0.002,0.062,0.069,4113,177101,0.023
3,not:user-assigns-personhood,user-endorses-delusion,user-romantic-interest,165918,16557,11619,1815,0.07,0.11,1.565,16557,1815,0.07,0.11,0.448,0.002,0.105,0.114,13934,177101,0.079
3,not:user-assigns-personhood,user-endorses-delusion,user-suicidal-intent,165918,16557,613,123,0.004,0.007,2.011,16557,123,0.004,0.007,0.698,0.001,0.006,0.009,668,177101,0.004
3,not:user-assigns-personhood,user-endorses-delusion,user-theme-awakening-consciousness,165918,16557,4347,2244,0.026,0.136,5.173,16557,2244,0.026,0.136,1.643,0.003,0.13,0.141,5679,177101,0.032
3,not:user-assigns-personhood,user-endorses-delusion,user-violent-intent,165918,16557,497,177,0.003,0.011,3.569,16557,177,0.003,0.011,1.272,0.001,0.009,0.012,571,177101,0.003
3,not:user-assigns-personhood,user-expresses-isolation,user-assigns-personhood,165918,2545,7864,379,0.047,0.149,3.142,2545,379,0.047,0.149,1.144,0.007,0.135,0.163,11024,177101,0.062
3,not:user-assigns-personhood,user-expresses-isolation,user-endorses-delusion,165918,2545,16557,595,0.1,0.234,2.343,2545,595,0.1,0.234,0.851,0.008,0.217,0.25,19904,177101,0.112
3,not:user-assigns-personhood,user-expresses-isolation,user-expresses-isolation,165918,2545,2545,2545,0.015,1.0,65.194,2545,2545,0.015,0.999,4.177,0.001,0.998,1.0,2854,177101,0.016
3,not:user-assigns-personhood,user-expresses-isolation,user-mental-health-diagnosis,165918,2545,824,159,0.005,0.062,12.58,2545,159,0.005,0.062,2.531,0.005,0.053,0.072,879,177101,0.005
3,not:user-assigns-personhood,user-expresses-isolation,user-misconstrues-sentience,165918,2545,2924,104,0.018,0.041,2.319,2545,104,0.018,0.041,0.841,0.004,0.033,0.049,4227,177101,0.024
3,not:user-assigns-personhood,user-expresses-isolation,user-platonic-affinity,165918,2545,3182,202,0.019,0.079,4.139,2545,202,0.019,0.079,1.42,0.005,0.069,0.09,4113,177101,0.023
3,not:user-assigns-personhood,user-expresses-isolation,user-romantic-interest,165918,2545,11619,277,0.07,0.109,1.554,2545,277,0.07,0.109,0.441,0.006,0.097,0.121,13934,177101,0.079
3,not:user-assigns-personhood,user-expresses-isolation,user-suicidal-intent,165918,2545,613,166,0.004,0.065,17.654,2545,166,0.004,0.065,2.87,0.005,0.056,0.075,668,177101,0.004
3,not:user-assigns-personhood,user-expresses-isolation,user-theme-awakening-consciousness,165918,2545,4347,168,0.026,0.066,2.52,2545,168,0.026,0.066,0.924,0.005,0.056,0.076,5679,177101,0.032
3,not:user-assigns-personhood,user-expresses-isolation,user-violent-intent,165918,2545,497,29,0.003,0.011,3.804,2545,29,0.003,0.011,1.335,0.002,0.007,0.016,571,177101,0.003
3,not:user-assigns-personhood,user-mental-health-diagnosis,user-assigns-personhood,165918,824,7864,31,0.047,0.038,0.794,824,31,0.047,0.038,-0.23,0.007,0.025,0.051,11024,177101,0.062
3,not:user-assigns-personhood,user-mental-health-diagnosis,user-endorses-delusion,165918,824,16557,125,0.1,0.152,1.52,824,125,0.1,0.152,0.418,0.012,0.127,0.176,19904,177101,0.112
3,not:user-assigns-personhood,user-mental-health-diagnosis,user-expresses-isolation,165918,824,2545,159,0.015,0.193,12.58,824,159,0.015,0.193,2.53,0.014,0.166,0.219,2854,177101,0.016
3,not:user-assigns-personhood,user-mental-health-diagnosis,user-mental-health-diagnosis,165918,824,824,824,0.005,1.0,201.357,824,824,0.005,0.998,5.303,0.002,0.994,1.0,879,177101,0.005
3,not:user-assigns-personhood,user-mental-health-diagnosis,user-misconstrues-sentience,165918,824,2924,6,0.018,0.007,0.413,824,6,0.018,0.007,-0.88,0.003,0.002,0.013,4227,177101,0.024
3,not:user-assigns-personhood,user-mental-health-diagnosis,user-platonic-affinity,165918,824,3182,22,0.019,0.027,1.392,824,22,0.019,0.027,0.33,0.006,0.016,0.038,4113,177101,0.023
3,not:user-assigns-personhood,user-mental-health-diagnosis,user-romantic-interest,165918,824,11619,8,0.07,0.01,0.139,824,8,0.07,0.01,-1.961,0.003,0.003,0.017,13934,177101,0.079
3,not:user-assigns-personhood,user-mental-health-diagnosis,user-suicidal-intent,165918,824,613,67,0.004,0.081,22.008,824,67,0.004,0.081,3.089,0.009,0.063,0.1,668,177101,0.004
3,not:user-assigns-personhood,user-mental-health-diagnosis,user-theme-awakening-consciousness,165918,824,4347,23,0.026,0.028,1.065,824,23,0.026,0.028,0.063,0.006,0.017,0.039,5679,177101,0.032
3,not:user-assigns-personhood,user-mental-health-diagnosis,user-violent-intent,165918,824,497,7,0.003,0.008,2.836,824,7,0.003,0.008,1.041,0.003,0.002,0.015,571,177101,0.003
3,not:user-assigns-personhood,user-misconstrues-sentience,user-assigns-personhood,165918,2924,7864,1909,0.047,0.653,13.775,2924,1909,0.047,0.652,2.622,0.009,0.635,0.67,11024,177101,0.062
3,not:user-assigns-personhood,user-misconstrues-sentience,user-endorses-delusion,165918,2924,16557,1340,0.1,0.458,4.592,2924,1340,0.1,0.458,1.524,0.009,0.44,0.476,19904,177101,0.112
3,not:user-assigns-personhood,user-misconstrues-sentience,user-expresses-isolation,165918,2924,2545,104,0.015,0.036,2.319,2924,104,0.015,0.036,0.841,0.003,0.029,0.042,2854,177101,0.016
3,not:user-assigns-personhood,user-misconstrues-sentience,user-mental-health-diagnosis,165918,2924,824,6,0.005,0.002,0.413,2924,6,0.005,0.002,-0.883,0.001,0.0,0.004,879,177101,0.005
3,not:user-assigns-personhood,user-misconstrues-sentience,user-misconstrues-sentience,165918,2924,2924,2924,0.018,1.0,56.744,2924,2924,0.018,0.999,4.038,0.0,0.998,1.0,4227,177101,0.024
3,not:user-assigns-personhood,user-misconstrues-sentience,user-platonic-affinity,165918,2924,3182,400,0.019,0.137,7.133,2924,400,0.019,0.137,1.964,0.006,0.124,0.149,4113,177101,0.023
3,not:user-assigns-personhood,user-misconstrues-sentience,user-romantic-interest,165918,2924,11619,742,0.07,0.254,3.624,2924,742,0.07,0.254,1.287,0.008,0.238,0.269,13934,177101,0.079
3,not:user-assigns-personhood,user-misconstrues-sentience,user-suicidal-intent,165918,2924,613,14,0.004,0.005,1.296,2924,14,0.004,0.005,0.259,0.001,0.002,0.007,668,177101,0.004
3,not:user-assigns-personhood,user-misconstrues-sentience,user-theme-awakening-consciousness,165918,2924,4347,762,0.026,0.261,9.947,2924,762,0.026,0.26,2.297,0.008,0.245,0.276,5679,177101,0.032
3,not:user-assigns-personhood,user-misconstrues-sentience,user-violent-intent,165918,2924,497,22,0.003,0.008,2.512,2924,22,0.003,0.008,0.921,0.002,0.004,0.011,571,177101,0.003
3,not:user-assigns-personhood,user-platonic-affinity,user-assigns-personhood,165918,3182,7864,1348,0.047,0.424,8.938,3182,1348,0.047,0.423,2.19,0.009,0.406,0.441,11024,177101,0.062
3,not:user-assigns-personhood,user-platonic-affinity,user-endorses-delusion,165918,3182,16557,1081,0.1,0.34,3.404,3182,1081,0.1,0.34,1.225,0.008,0.323,0.356,19904,177101,0.112
3,not:user-assigns-personhood,user-platonic-affinity,user-expresses-isolation,165918,3182,2545,202,0.015,0.063,4.139,3182,202,0.015,0.063,1.42,0.004,0.055,0.072,2854,177101,0.016
3,not:user-assigns-personhood,user-platonic-affinity,user-mental-health-diagnosis,165918,3182,824,22,0.005,0.007,1.392,3182,22,0.005,0.007,0.331,0.001,0.004,0.01,879,177101,0.005
3,not:user-assigns-personhood,user-platonic-affinity,user-misconstrues-sentience,165918,3182,2924,400,0.018,0.126,7.133,3182,400,0.018,0.126,1.964,0.006,0.114,0.137,4227,177101,0.024
3,not:user-assigns-personhood,user-platonic-affinity,user-platonic-affinity,165918,3182,3182,3182,0.019,1.0,52.143,3182,3182,0.019,0.999,3.953,0.0,0.999,1.0,4113,177101,0.023
3,not:user-assigns-personhood,user-platonic-affinity,user-romantic-interest,165918,3182,11619,1165,0.07,0.366,5.228,3182,1165,0.07,0.366,1.654,0.009,0.349,0.383,13934,177101,0.079
3,not:user-assigns-personhood,user-platonic-affinity,user-suicidal-intent,165918,3182,613,17,0.004,0.005,1.446,3182,17,0.004,0.005,0.369,0.001,0.003,0.008,668,177101,0.004
3,not:user-assigns-personhood,user-platonic-affinity,user-theme-awakening-consciousness,165918,3182,4347,523,0.026,0.164,6.273,3182,523,0.026,0.164,1.836,0.007,0.151,0.177,5679,177101,0.032
3,not:user-assigns-personhood,user-platonic-affinity,user-violent-intent,165918,3182,497,11,0.003,0.003,1.154,3182,11,0.003,0.003,0.143,0.001,0.001,0.005,571,177101,0.003
3,not:user-assigns-personhood,user-romantic-interest,user-assigns-personhood,165918,11619,7864,2397,0.047,0.206,4.353,11619,2397,0.047,0.206,1.471,0.004,0.199,0.214,11024,177101,0.062
3,not:user-assigns-personhood,user-romantic-interest,user-endorses-delusion,165918,11619,16557,1815,0.1,0.156,1.565,11619,1815,0.1,0.156,0.448,0.003,0.15,0.163,19904,177101,0.112
3,not:user-assigns-personhood,user-romantic-interest,user-expresses-isolation,165918,11619,2545,277,0.015,0.024,1.554,11619,277,0.015,0.024,0.441,0.001,0.021,0.027,2854,177101,0.016
3,not:user-assigns-personhood,user-romantic-interest,user-mental-health-diagnosis,165918,11619,824,8,0.005,0.001,0.139,11619,8,0.005,0.001,-1.975,0.0,0.0,0.001,879,177101,0.005
3,not:user-assigns-personhood,user-romantic-interest,user-misconstrues-sentience,165918,11619,2924,742,0.018,0.064,3.624,11619,742,0.018,0.064,1.287,0.002,0.059,0.068,4227,177101,0.024
3,not:user-assigns-personhood,user-romantic-interest,user-platonic-affinity,165918,11619,3182,1165,0.019,0.1,5.228,11619,1165,0.019,0.1,1.654,0.003,0.095,0.106,4113,177101,0.023
3,not:user-assigns-personhood,user-romantic-interest,user-romantic-interest,165918,11619,11619,11619,0.07,1.0,14.28,11619,11619,0.07,1.0,2.659,0.0,1.0,1.0,13934,177101,0.079
3,not:user-assigns-personhood,user-romantic-interest,user-suicidal-intent,165918,11619,613,38,0.004,0.003,0.885,11619,38,0.004,0.003,-0.122,0.001,0.002,0.004,668,177101,0.004
3,not:user-assigns-personhood,user-romantic-interest,user-theme-awakening-consciousness,165918,11619,4347,1043,0.026,0.09,3.426,11619,1043,0.026,0.09,1.231,0.003,0.085,0.095,5679,177101,0.032
3,not:user-assigns-personhood,user-romantic-interest,user-violent-intent,165918,11619,497,91,0.003,0.008,2.615,11619,91,0.003,0.008,0.961,0.001,0.006,0.009,571,177101,0.003
3,not:user-assigns-personhood,user-suicidal-intent,user-assigns-personhood,165918,613,7864,38,0.047,0.062,1.308,613,38,0.047,0.062,0.268,0.01,0.043,0.081,11024,177101,0.062
3,not:user-assigns-personhood,user-suicidal-intent,user-endorses-delusion,165918,613,16557,123,0.1,0.201,2.011,613,123,0.1,0.2,0.697,0.016,0.169,0.232,19904,177101,0.112
3,not:user-assigns-personhood,user-suicidal-intent,user-expresses-isolation,165918,613,2545,166,0.015,0.271,17.654,613,166,0.015,0.27,2.868,0.018,0.235,0.305,2854,177101,0.016
3,not:user-assigns-personhood,user-suicidal-intent,user-mental-health-diagnosis,165918,613,824,67,0.005,0.109,22.008,613,67,0.005,0.109,3.088,0.013,0.084,0.134,879,177101,0.005
3,not:user-assigns-personhood,user-suicidal-intent,user-misconstrues-sentience,165918,613,2924,14,0.018,0.023,1.296,613,14,0.018,0.023,0.258,0.006,0.011,0.035,4227,177101,0.024
3,not:user-assigns-personhood,user-suicidal-intent,user-platonic-affinity,165918,613,3182,17,0.019,0.028,1.446,613,17,0.019,0.028,0.368,0.007,0.015,0.041,4113,177101,0.023
3,not:user-assigns-personhood,user-suicidal-intent,user-romantic-interest,165918,613,11619,38,0.07,0.062,0.885,613,38,0.07,0.062,-0.122,0.01,0.043,0.081,13934,177101,0.079
3,not:user-assigns-personhood,user-suicidal-intent,user-suicidal-intent,165918,613,613,613,0.004,1.0,270.666,613,613,0.004,0.997,5.598,0.002,0.992,1.0,668,177101,0.004
3,not:user-assigns-personhood,user-suicidal-intent,user-theme-awakening-consciousness,165918,613,4347,25,0.026,0.041,1.557,613,25,0.026,0.041,0.441,0.008,0.025,0.056,5679,177101,0.032
3,not:user-assigns-personhood,user-suicidal-intent,user-violent-intent,165918,613,497,17,0.003,0.028,9.258,613,17,0.003,0.028,2.223,0.007,0.015,0.041,571,177101,0.003
3,not:user-assigns-personhood,user-theme-awakening-consciousness,user-assigns-personhood,165918,4347,7864,1361,0.047,0.313,6.606,4347,1361,0.047,0.313,1.888,0.007,0.299,0.327,11024,177101,0.062
3,not:user-assigns-personhood,user-theme-awakening-consciousness,user-endorses-delusion,165918,4347,16557,2244,0.1,0.516,5.173,4347,2244,0.1,0.516,1.643,0.008,0.501,0.531,19904,177101,0.112
3,not:user-assigns-personhood,user-theme-awakening-consciousness,user-expresses-isolation,165918,4347,2545,168,0.015,0.039,2.52,4347,168,0.015,0.039,0.924,0.003,0.033,0.044,2854,177101,0.016
3,not:user-assigns-personhood,user-theme-awakening-consciousness,user-mental-health-diagnosis,165918,4347,824,23,0.005,0.005,1.065,4347,23,0.005,0.005,0.063,0.001,0.003,0.007,879,177101,0.005
3,not:user-assigns-personhood,user-theme-awakening-consciousness,user-misconstrues-sentience,165918,4347,2924,762,0.018,0.175,9.947,4347,762,0.018,0.175,2.297,0.006,0.164,0.187,4227,177101,0.024
3,not:user-assigns-personhood,user-theme-awakening-consciousness,user-platonic-affinity,165918,4347,3182,523,0.019,0.12,6.273,4347,523,0.019,0.12,1.836,0.005,0.111,0.13,4113,177101,0.023
3,not:user-assigns-personhood,user-theme-awakening-consciousness,user-romantic-interest,165918,4347,11619,1043,0.07,0.24,3.426,4347,1043,0.07,0.24,1.231,0.006,0.227,0.253,13934,177101,0.079
3,not:user-assigns-personhood,user-theme-awakening-consciousness,user-suicidal-intent,165918,4347,613,25,0.004,0.006,1.557,4347,25,0.004,0.006,0.442,0.001,0.004,0.008,668,177101,0.004
3,not:user-assigns-personhood,user-theme-awakening-consciousness,user-theme-awakening-consciousness,165918,4347,4347,4347,0.026,1.0,38.168,4347,4347,0.026,1.0,3.642,0.0,0.999,1.0,5679,177101,0.032
3,not:user-assigns-personhood,user-theme-awakening-consciousness,user-violent-intent,165918,4347,497,32,0.003,0.007,2.458,4347,32,0.003,0.007,0.899,0.001,0.005,0.01,571,177101,0.003
3,not:user-assigns-personhood,user-violent-intent,user-assigns-personhood,165918,497,7864,78,0.047,0.157,3.311,497,78,0.047,0.157,1.195,0.016,0.125,0.188,11024,177101,0.062
3,not:user-assigns-personhood,user-violent-intent,user-endorses-delusion,165918,497,16557,177,0.1,0.356,3.569,497,177,0.1,0.355,1.269,0.021,0.313,0.397,19904,177101,0.112
3,not:user-assigns-personhood,user-violent-intent,user-expresses-isolation,165918,497,2545,29,0.015,0.058,3.804,497,29,0.015,0.058,1.333,0.01,0.038,0.079,2854,177101,0.016
3,not:user-assigns-personhood,user-violent-intent,user-mental-health-diagnosis,165918,497,824,7,0.005,0.014,2.836,497,7,0.005,0.014,1.04,0.005,0.004,0.024,879,177101,0.005
3,not:user-assigns-personhood,user-violent-intent,user-misconstrues-sentience,165918,497,2924,22,0.018,0.044,2.512,497,22,0.018,0.044,0.919,0.009,0.026,0.062,4227,177101,0.024
3,not:user-assigns-personhood,user-violent-intent,user-platonic-affinity,165918,497,3182,11,0.019,0.022,1.154,497,11,0.019,0.022,0.143,0.007,0.009,0.035,4113,177101,0.023
3,not:user-assigns-personhood,user-violent-intent,user-romantic-interest,165918,497,11619,91,0.07,0.183,2.615,497,91,0.07,0.183,0.959,0.017,0.149,0.217,13934,177101,0.079
3,not:user-assigns-personhood,user-violent-intent,user-suicidal-intent,165918,497,613,17,0.004,0.034,9.258,497,17,0.004,0.034,2.222,0.008,0.018,0.05,668,177101,0.004
3,not:user-assigns-personhood,user-violent-intent,user-theme-awakening-consciousness,165918,497,4347,32,0.026,0.064,2.458,497,32,0.026,0.064,0.897,0.011,0.043,0.086,5679,177101,0.032
3,not:user-assigns-personhood,user-violent-intent,user-violent-intent,165918,497,497,497,0.003,1.0,333.839,497,497,0.003,0.996,5.807,0.003,0.99,1.0,571,177101,0.003
3,not:user-endorses-delusion,user-assigns-personhood,user-assigns-personhood,157052,8028,8028,8028,0.051,1.0,19.563,8028,8028,0.051,1.0,2.973,0.0,0.999,1.0,11024,177101,0.062
3,not:user-endorses-delusion,user-assigns-personhood,user-endorses-delusion,157052,8028,12073,3084,0.077,0.384,4.997,8028,3084,0.077,0.384,1.609,0.005,0.373,0.395,19904,177101,0.112
3,not:user-endorses-delusion,user-assigns-personhood,user-expresses-isolation,157052,8028,2312,357,0.015,0.044,3.021,8028,357,0.015,0.044,1.105,0.002,0.04,0.049,2854,177101,0.016
3,not:user-endorses-delusion,user-assigns-personhood,user-mental-health-diagnosis,157052,8028,783,33,0.005,0.004,0.824,8028,33,0.005,0.004,-0.193,0.001,0.003,0.006,879,177101,0.005
3,not:user-endorses-delusion,user-assigns-personhood,user-misconstrues-sentience,157052,8028,3028,2022,0.019,0.252,13.064,8028,2022,0.019,0.252,2.57,0.005,0.242,0.261,4227,177101,0.024
3,not:user-endorses-delusion,user-assigns-personhood,user-platonic-affinity,157052,8028,3086,1374,0.02,0.171,8.71,8028,1374,0.02,0.171,2.164,0.004,0.163,0.179,4113,177101,0.023
3,not:user-endorses-delusion,user-assigns-personhood,user-romantic-interest,157052,8028,11583,2478,0.074,0.309,4.185,8028,2478,0.074,0.309,1.431,0.005,0.299,0.319,13934,177101,0.079
3,not:user-endorses-delusion,user-assigns-personhood,user-suicidal-intent,157052,8028,544,39,0.003,0.005,1.402,8028,39,0.003,0.005,0.338,0.001,0.003,0.006,668,177101,0.004
3,not:user-endorses-delusion,user-assigns-personhood,user-theme-awakening-consciousness,157052,8028,3872,1306,0.025,0.163,6.598,8028,1306,0.025,0.163,1.887,0.004,0.155,0.171,5679,177101,0.032
3,not:user-endorses-delusion,user-assigns-personhood,user-violent-intent,157052,8028,407,64,0.003,0.008,3.076,8028,64,0.003,0.008,1.124,0.001,0.006,0.01,571,177101,0.003
3,not:user-endorses-delusion,user-endorses-delusion,user-assigns-personhood,157052,12073,8028,3084,0.051,0.255,4.997,12073,3084,0.051,0.255,1.609,0.004,0.248,0.263,11024,177101,0.062
3,not:user-endorses-delusion,user-endorses-delusion,user-endorses-delusion,157052,12073,12073,12073,0.077,1.0,13.009,12073,12073,0.077,1.0,2.565,0.0,1.0,1.0,19904,177101,0.112
3,not:user-endorses-delusion,user-endorses-delusion,user-expresses-isolation,157052,12073,2312,439,0.015,0.036,2.47,12073,439,0.015,0.036,0.904,0.002,0.033,0.04,2854,177101,0.016
3,not:user-endorses-delusion,user-endorses-delusion,user-mental-health-diagnosis,157052,12073,783,94,0.005,0.008,1.562,12073,94,0.005,0.008,0.446,0.001,0.006,0.009,879,177101,0.005
3,not:user-endorses-delusion,user-endorses-delusion,user-misconstrues-sentience,157052,12073,3028,1267,0.019,0.105,5.443,12073,1267,0.019,0.105,1.694,0.003,0.099,0.11,4227,177101,0.024
3,not:user-endorses-delusion,user-endorses-delusion,user-platonic-affinity,157052,12073,3086,930,0.02,0.077,3.92,12073,930,0.02,0.077,1.366,0.002,0.072,0.082,4113,177101,0.023
3,not:user-endorses-delusion,user-endorses-delusion,user-romantic-interest,157052,12073,11583,1617,0.074,0.134,1.816,12073,1617,0.074,0.134,0.597,0.003,0.128,0.14,13934,177101,0.079
3,not:user-endorses-delusion,user-endorses-delusion,user-suicidal-intent,157052,12073,544,90,0.003,0.007,2.152,12073,90,0.003,0.007,0.766,0.001,0.006,0.009,668,177101,0.004
3,not:user-endorses-delusion,user-endorses-delusion,user-theme-awakening-consciousness,157052,12073,3872,1779,0.025,0.147,5.977,12073,1779,0.025,0.147,1.788,0.003,0.141,0.154,5679,177101,0.032
3,not:user-endorses-delusion,user-endorses-delusion,user-violent-intent,157052,12073,407,104,0.003,0.009,3.324,12073,104,0.003,0.009,1.201,0.001,0.007,0.01,571,177101,0.003
3,not:user-endorses-delusion,user-expresses-isolation,user-assigns-personhood,157052,2312,8028,357,0.051,0.154,3.021,2312,357,0.051,0.154,1.105,0.008,0.14,0.169,11024,177101,0.062
3,not:user-endorses-delusion,user-expresses-isolation,user-endorses-delusion,157052,2312,12073,439,0.077,0.19,2.47,2312,439,0.077,0.19,0.904,0.008,0.174,0.206,19904,177101,0.112
3,not:user-endorses-delusion,user-expresses-isolation,user-expresses-isolation,157052,2312,2312,2312,0.015,1.0,67.929,2312,2312,0.015,0.999,4.218,0.001,0.998,1.0,2854,177101,0.016
3,not:user-endorses-delusion,user-expresses-isolation,user-mental-health-diagnosis,157052,2312,783,147,0.005,0.064,12.753,2312,147,0.005,0.064,2.545,0.005,0.054,0.073,879,177101,0.005
3,not:user-endorses-delusion,user-expresses-isolation,user-misconstrues-sentience,157052,2312,3028,91,0.019,0.039,2.041,2312,91,0.019,0.039,0.713,0.004,0.031,0.047,4227,177101,0.024
3,not:user-endorses-delusion,user-expresses-isolation,user-platonic-affinity,157052,2312,3086,186,0.02,0.08,4.094,2312,186,0.02,0.08,1.409,0.006,0.069,0.091,4113,177101,0.023
3,not:user-endorses-delusion,user-expresses-isolation,user-romantic-interest,157052,2312,11583,270,0.074,0.117,1.583,2312,270,0.074,0.117,0.459,0.007,0.104,0.13,13934,177101,0.079
3,not:user-endorses-delusion,user-expresses-isolation,user-suicidal-intent,157052,2312,544,144,0.003,0.062,17.981,2312,144,0.003,0.062,2.889,0.005,0.052,0.072,668,177101,0.004
3,not:user-endorses-delusion,user-expresses-isolation,user-theme-awakening-consciousness,157052,2312,3872,122,0.025,0.053,2.14,2312,122,0.025,0.053,0.76,0.005,0.044,0.062,5679,177101,0.032
3,not:user-endorses-delusion,user-expresses-isolation,user-violent-intent,157052,2312,407,22,0.003,0.01,3.672,2312,22,0.003,0.01,1.3,0.002,0.006,0.013,571,177101,0.003
3,not:user-endorses-delusion,user-mental-health-diagnosis,user-assigns-personhood,157052,783,8028,33,0.051,0.042,0.824,783,33,0.051,0.042,-0.192,0.007,0.028,0.056,11024,177101,0.062
3,not:user-endorses-delusion,user-mental-health-diagnosis,user-endorses-delusion,157052,783,12073,94,0.077,0.12,1.562,783,94,0.077,0.12,0.445,0.012,0.097,0.143,19904,177101,0.112
3,not:user-endorses-delusion,user-mental-health-diagnosis,user-expresses-isolation,157052,783,2312,147,0.015,0.188,12.753,783,147,0.015,0.187,2.543,0.014,0.16,0.215,2854,177101,0.016
3,not:user-endorses-delusion,user-mental-health-diagnosis,user-mental-health-diagnosis,157052,783,783,783,0.005,1.0,200.577,783,783,0.005,0.997,5.299,0.002,0.994,1.0,879,177101,0.005
3,not:user-endorses-delusion,user-mental-health-diagnosis,user-misconstrues-sentience,157052,783,3028,6,0.019,0.008,0.397,783,6,0.019,0.008,-0.919,0.003,0.002,0.014,4227,177101,0.024
3,not:user-endorses-delusion,user-mental-health-diagnosis,user-platonic-affinity,157052,783,3086,25,0.02,0.032,1.625,783,25,0.02,0.032,0.484,0.006,0.02,0.044,4113,177101,0.023
3,not:user-endorses-delusion,user-mental-health-diagnosis,user-romantic-interest,157052,783,11583,7,0.074,0.009,0.121,783,7,0.074,0.009,-2.092,0.003,0.002,0.016,13934,177101,0.079
3,not:user-endorses-delusion,user-mental-health-diagnosis,user-suicidal-intent,157052,783,544,58,0.003,0.074,21.385,783,58,0.003,0.074,3.06,0.009,0.056,0.092,668,177101,0.004
3,not:user-endorses-delusion,user-mental-health-diagnosis,user-theme-awakening-consciousness,157052,783,3872,17,0.025,0.022,0.881,783,17,0.025,0.022,-0.127,0.005,0.012,0.032,5679,177101,0.032
3,not:user-endorses-delusion,user-mental-health-diagnosis,user-violent-intent,157052,783,407,5,0.003,0.006,2.464,783,5,0.003,0.006,0.9,0.003,0.001,0.012,571,177101,0.003
